type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-IL,Dixon,9IS5,9IS5,"41.85810089111328, -89.40730285644531",9IS5,J & Y Ultralightport,786
heliport,NA,US,US-IL,Evanston,9IS6,9IS6,"42.06169891357422, -87.67400360107422",9IS6,Evanston Water Plant Heliport,610
heliport,NA,US,US-IL,Geneseo,9IS7,9IS7,"41.45560073852539, -90.16819763183594",9IS7,Black Hawk Heliport,630
heliport,NA,US,US-IL,Gibson City,9IS8,9IS8,"40.479655, -88.369475",9IS8,Gibson Community Hospital Heliport,782
small_airport,NA,US,US-IL,Heyworth,9IS9,9IS9,"40.3344993591, -88.9553985596",9IS9,Johnston Airport,785
heliport,NA,US,US-KY,Hazard,9JY9,9JY9,"37.278465, -83.229097",9JY9,Hazard ARH Regional Medical Center Helipad,1232
small_airport,NA,US,US-KS,Cottonwood Falls,9K0,9K0,"38.35860061645508, -96.55449676513672",9K0,Chase County Airport,1273
small_airport,NA,US,US-KS,Dodge City,9K1,9K1,"37.722801208496094, -99.92620086669922",9K1,Wilroads Gardens Airport,2440
small_airport,NA,US,US-MO,Slater,9K5,9K5,"39.22919845581055, -93.07240295410156",9K5,Slater Memorial Airport,860
small_airport,NA,US,US-KS,El Dorado,9K6,9K6,"37.80039978027344, -96.79900360107422",9K6,Patty Field,1385
heliport,NA,US,US-KS,Coffeyville,9KS0,9KS0,"37.04169845581055, -95.63909912109375",9KS0,Coffeyville Regional Medical Center Heliport,750
small_airport,NA,US,US-KS,Wellsville,9KS1,9KS1,"38.6594444, -95.0922222",9KS1,Hartland Airport,993
heliport,NA,US,US-KS,Merriam,9KS2,9KS2,"38.99580001831055, -94.69110107421875",9KS2,Shawnee Mission Medical Center Heliport,1030
heliport,NA,US,US-KS,Wichita,9KS3,9KS3,"37.71030044555664, -97.38839721679688",9KS3,Kake Helistop,1330
small_airport,NA,US,US-KS,Ionia,9KS4,9KS4,"39.636395, -98.359802",9KS4,Rose Port Inc Airport,1500
small_airport,NA,US,US-KS,Gove,9KS6,9KS6,"38.8130989074707, -100.57099914550781",9KS6,Lundgren Hereford Ranch Airport,2600
small_airport,NA,US,US-KS,Harris,9KS7,9KS7,"38.277801513671875, -95.44329833984375",9KS7,Miller Airport,1000
small_airport,NA,US,US-KS,Salina,9KS9,9KS9,"38.79079818725586, -97.61830139160156",9KS9,Dmh Airport,1272
heliport,NA,US,US-KY,Louisville,9KT0,9KT0,"38.248972, -85.749472",9KT0,Norton Children's Hospital Heliport,546
heliport,NA,US,US-KY,Clay City,9KY0,9KY0,"38.853083, -83.917416",9KY0,Clay City Vol. Fire Department Heliport,667
small_airport,NA,US,US-KY,Paintsville,9KY9,9KY9,"37.7458992004, -82.77909851070001",9KY9,Paintsville-Prestonsburg-Combs Field,624
small_airport,NA,US,US-LA,Wisner,9LA1,9LA1,"31.90679931640625, -91.7593002319336",9LA1,Turkey Creek Lake Airport,67
small_airport,NA,US,US-LA,Newellton,9LA2,9LA2,"32.14039993286133, -91.41120147705078",9LA2,Norris Airstrip,70
heliport,NA,US,US-LA,Morgan City,9LA4,9LA4,"29.686899185180664, -91.17179870605469",9LA4,Texaco Heliport,5
heliport,NA,US,US-LA,Pineville,9LA5,9LA5,"31.320999145507812, -92.4446029663086",9LA5,Huey P Long Regional Medical Center Heliport,70
small_airport,NA,US,US-LA,Alexandria,9LA6,9LA6,"31.306801, -92.611504",9LA6,Chandler Airport,82
heliport,NA,US,US-LA,Amelia,9LA7,9LA7,"29.668300628699996, -91.09680175780001",9LA7,Air Logistics;  Amelia Base Heliport,4
heliport,NA,US,US-LA,South Kenner,9LA8,9LA8,"29.960500717163086, -90.28369903564453",9LA8,American Cyanamid Company Helistop,9
small_airport,NA,US,US-LA,Amite,9LA9,9LA9,"30.73349952697754, -90.45010375976562",9LA9,Skyline Airpark,200
small_airport,NA,US,US-IL,Payson,9LL0,9LL0,"39.81999969482422, -91.22100067138672",9LL0,Krutmeier Airport,715
small_airport,NA,US,US-IL,Cutler,9LL2,9LL2,"38.03369903564453, -89.57929992675781",9LL2,Hepp Airport,505
small_airport,NA,US,US-IL,Edinburg,9LL5,9LL5,"39.651100158691406, -89.45860290527344",9LL5,Tommy's Airpark,595
heliport,NA,US,US-IL,Pleasant Plains,9LL7,9LL7,"39.87730026245117, -89.92459869384766",9LL7,Brandt Heliport,629
heliport,NA,US,US-IL,Decatur,9LL8,9LL8,"39.86669921875, -88.88529968261719",9LL8,Refreshment Services Inc Heliport,680
small_airport,NA,US,US-IL,Mattoon,9LL9,9LL9,"39.48469924926758, -88.46939849853516",9LL9,Townley Farms Airport,700
small_airport,NA,US,US-LA,Darnell,9LS1,9LS1,"32.70009994506836, -91.3833999633789",9LS1,Bayou Meadows Airport,85
small_airport,NA,US,US-LA,Tallulah,9LS5,9LS5,"32.28350067138672, -91.12789916992188",9LS5,Red Beard Dusting Service Airport,86
small_airport,NA,US,US-LA,Tendal,9LS9,9LS9,"32.4099006652832, -91.34870147705078",9LS9,4B Ranch Airport,80
seaplane_base,NA,US,US-MN,Duluth,9M0,9M0,"47.01490020751953, -92.16819763183594",9M0,North Country Seaplane Base,1370
heliport,NA,US,US-MA,Carver,9MA8,9MA8,"41.8468017578125, -70.76090240478516",9MA8,Wayne West Heliport,90
small_airport,NA,US,US-MD,Denton,9MD9,9MD9,"38.85200119018555, -75.68930053710938",9MD9,G W Farm Airport,50
heliport,NA,US,US-MI,Ypsilanti,9MI0,9MI0,"42.26449966430664, -83.65409851074219",9MI0,C M H S Heliport,837
heliport,NA,US,US-MI,Battle Creek,9MI1,9MI1,"42.33169937133789, -85.29669952392578",9MI1,Custer Main Heliport,883
small_airport,NA,US,US-MI,Newport,9MI2,9MI2,"41.98789978027344, -83.30760192871094",9MI2,Newport Woods Airport,593
heliport,NA,US,US-MI,Grand Rapids,9MI3,9MI3,"42.965599060058594, -85.67109680175781",9MI3,Amway Downtown Heliport,670
heliport,NA,US,US-MI,Hudson,9MI4,9MI4,"41.862300872802734, -84.35990142822266",9MI4,Thorn Health Center Heliport,930
small_airport,NA,US,US-MI,Millington,9MI5,9MI5,"43.23780059814453, -83.52439880371094",9MI5,Grass Roots STOLport,780
small_airport,NA,US,US-MI,Fenton,9MI6,9MI6,"42.739200592041016, -83.75499725341797",9MI6,Trollman's Field,990
heliport,NA,US,US-MI,Novi,9MI7,9MI7,"42.4900016784668, -83.46520233154297",9MI7,Glen Oaks Heliport,920
heliport,NA,US,US-MI,Utica,9MI8,9MI8,"42.6609001159668, -82.99629974365234",9MI8,Jott Heliport,630
heliport,NA,US,US-MI,Kalamazoo,9MI9,9MI9,"42.2869987487793, -85.5813980102539",9MI9,Bronson Methodist Hospital Heliport,786
seaplane_base,NA,US,US-MN,Hibbing,9MN0,9MN0,"47.41830062866211, -92.82769775390625",9MN0,Carey Lake Seaplane Base,1351
small_airport,NA,US,US-MN,Cambridge,9MN1,9MN1,"45.61159896850586, -93.19740295410156",9MN1,Troll Farm Airport,960
seaplane_base,NA,US,US-MN,Grand Rapids,9MN2,9MN2,"47.41859817504883, -93.518798828125",9MN2,Wabana Seaplane Base,1319
small_airport,NA,US,US-MN,Barnesville,9MN3,9MN3,"46.665199279785156, -96.44120025634766",9MN3,Barnesville Municipal Airport,980
heliport,NA,US,US-MN,Minneapolis,9MN4,9MN4,"44.96699905395508, -93.23739624023438",9MN4,Fairview Riverside Medical Center Heliport,987
small_airport,NA,US,US-MN,Barnesville,9MN5,9MN5,"46.71189880371094, -96.35150146484375",9MN5,Janssen Airport,1100
small_airport,NA,US,US-MN,Jordan,9MN6,9MN6,"44.64339828491211, -93.69969940185547",9MN6,Merill L Harris Field,800
heliport,NA,US,US-MN,St James,9MN7,9MN7,"43.97999954223633, -94.61689758300781",9MN7,Watonwan Memorial Hospital Heliport,1078
heliport,NA,US,US-MO,St Louis,9MO0,9MO0,"38.59170150756836, -90.2083969116211",9MO0,Anheuser/Busch Inc Heliport,548
heliport,NA,US,US-MO,St Louis,9MO1,9MO1,"38.63529968261719, -90.44599914550781",9MO1,Missouri Baptist Hospital Heliport,630
heliport,NA,US,US-MO,Marshall,9MO2,9MO2,"39.11249923706055, -93.18910217285156",9MO2,Fitzgibbon Hospital Heliport,744
small_airport,NA,US,US-MO,Faucett,9MO3,9MO3,"39.641700744628906, -94.8135986328125",9MO3,Lawlor-Justus Airport,1100
small_airport,NA,US,US-MO,Savannah,9MO4,9MO4,"39.97919845581055, -94.8739013671875",9MO4,Worth Airport,1130
small_airport,NA,US,US-MO,Sparta,9MO5,9MO5,"37.06119919, -93.09929657",9MO5,Hindman Airport,1380
small_airport,NA,US,US-MO,Stover,9MO6,9MO6,"38.19309997558594, -92.99240112304688",9MO6,Ivy Bend Airport,690
heliport,NA,US,US-MO,Urbana,9MO7,9MO7,"37.84170150756836, -93.16690063476562",9MO7,Urbana Area Medical Heliport,1050
heliport,NA,US,US-MO,Owensville,9MO8,9MO8,"38.35559844970703, -91.50240325927734",9MO8,Owensville Ambulance District Heliport,900
small_airport,NA,US,US-MO,Sumner,9MO9,9MO9,"39.54999923706055, -93.25019836425781",9MO9,Eagle Lodge Airport,650
heliport,NA,US,US-MS,Pascagoula,9MS7,9MS7,"30.356515, -88.507352",9MS7,Martin Heliport Area,5
small_airport,NA,US,US-MS,Columbia,9MS9,9MS9,"31.202544, -89.749755",9MS9,Beets Airport,238
small_airport,NA,US,US-MT,Fort Smith,9MT0,9MT0,"45.402953, -107.774616",9MT0,Pale Morning Dun Ranch Airport,3220
small_airport,NA,US,US-MT,Bozeman,9MT8,9MT8,"45.75809860229492, -111.08300018310547",9MT8,Monger Airport,4550
small_airport,NA,US,US-MT,Belgrade,9MT9,9MT9,"45.7907981873, -111.125",9MT9,Mc Kenna Airport,4450
small_airport,NA,US,US-PA,Erwinna,9N1,9N1,"40.48429870605469, -75.09960174560547",9N1,Vansant Airport,390
seaplane_base,NA,US,US-PA,Essington,9N2,9N2,"39.859001159668, -75.299598693848",9N2,Philadelphia Seaplane Base,0
small_airport,NA,US,US-PA,Factoryville,9N3,9N3,"41.58940124511719, -75.756103515625",9N3,Seamans Field,1209
small_airport,NA,US,US-PA,Fredericksburg,9N7,9N7,"40.442901611328125, -76.44159698486328",9N7,Farmers Pride Airport,495
heliport,NA,US,US-ND,Medina,9NA2,9NA2,"46.89360046386719, -99.29229736328125",9NA2,Dakota Clinic Heliport,1795
small_airport,NA,US,US-ND,Kenmare,9NA4,9NA4,"48.666099548339844, -101.89099884033203",9NA4,Bodmer Airport,1885
small_airport,NA,US,US-NC,Knightdale,9NC0,9NC0,"35.797698974609375, -78.43699645996094",9NC0,Raleigh East Airport,313
heliport,NA,US,US-NC,Albemarle,9NC1,9NC1,"35.36330032348633, -80.1947021484375",9NC1,Stanley Memorial Hospital Heliport,650
small_airport,NA,US,US-NC,Linden,9NC2,9NC2,"35.21820068359375, -78.79640197753906",9NC2,Flyers Airpark,115
small_airport,NA,US,US-NC,Monroe,9NC3,9NC3,"35.07080078125, -80.56639862060547",9NC3,Edwards Airport,640
small_airport,NA,US,US-NC,Gates,9NC4,9NC4,"36.5093994140625, -76.66419982910156",9NC4,Jiles Field,75
heliport,NA,US,US-NC,Columbus,9NC5,9NC5,"35.2400016784668, -82.21109771728516",9NC5,Saint Luke's Hospital Heliport,1100
small_airport,NA,US,US-NC,Maco,9NC6,9NC6,"34.274898529052734, -78.16079711914062",9NC6,Sandy Run Acres Airport,60
small_airport,NA,US,US-NC,Mt Pleasant,9NC7,9NC7,"35.36970138549805, -80.44000244140625",9NC7,Willow Creek Airport,572
small_airport,NA,US,US-NC,Pittsboro,9NC8,9NC8,"35.6869010925293, -79.21880340576172",9NC8,Eagles Landing Airport,430
small_airport,NA,US,US-NC,Greensboro,9NC9,9NC9,"36.21009826660156, -79.8949966430664",9NC9,Meylor Field,910
small_airport,NA,US,US-ND,Drayton,9ND1,9ND1,"48.64799880981445, -97.26840209960938",9ND1,Elliott Farms Airport,808
small_airport,NA,US,US-ND,Cavalier,9ND8,9ND8,"48.785499572753906, -97.67230224609375",9ND8,Hinkle Airport,908
small_airport,NA,US,US-NE,Brule,9NE1,9NE1,"41.14440155029297, -101.927001953125",9NE1,El-Co Airport,3650
small_airport,NA,US,US-NE,Carleton,9NE2,9NE2,"40.29169845581055, -97.72250366210938",9NE2,Folkerts Airport,1610
small_airport,NA,US,US-NE,Hyannis,9NE3,9NE3,"42.1875, -101.78900146484375",9NE3,Davis Ranch Airport,3768
small_airport,NA,US,US-NE,Lindsay,9NE4,9NE4,"41.70330047607422, -97.74449920654297",9NE4,Johnston Field,1800
small_airport,NA,US,US-NE,Omaha,9NE6,9NE6,"41.33829879760742, -96.08809661865234",9NE6,Bates Airpark,1250
small_airport,NA,US,US-NE,Stapleton,9NE7,9NE7,"41.43330001831055, -100.48400115966797",9NE7,Bay Field,3000
small_airport,NA,US,US-NE,Stapleton,9NE8,9NE8,"41.40169906616211, -100.47899627685547",9NE8,Brosius Field,3010
small_airport,NA,US,US-NE,Hebron,9NE9,9NE9,"40.194400787353516, -97.56700134277344",9NE9,Dog Leg Airport,1500
heliport,NA,US,US-NJ,Paramus,9NJ0,9NJ0,"40.95539855957031, -74.07099914550781",9NJ0,Lag's Landing Heliport,50
heliport,NA,US,US-NJ,Bound Brook,9NJ1,9NJ1,"40.56449890136719, -74.55490112304688",9NJ1,Bound Brook Nr 1 Heliport,65
heliport,NA,US,US-NJ,Bound Brook,9NJ2,9NJ2,"40.55649948120117, -74.5624008178711",9NJ2,Bound Brook Nr 2 Heliport,32
heliport,NA,US,US-NJ,Basking Ridge,9NJ3,9NJ3,"40.716800689697266, -74.54959869384766",9NJ3,At&T Helistop,280
heliport,NA,US,US-NJ,New Brunswick,9NJ4,9NJ4,"40.495601654052734, -74.45169830322266",9NJ4,Robert Wood Johnson Hospital Heliport,199
small_airport,NA,US,US-NJ,Harrisonville,9NJ5,9NJ5,"39.68009948730469, -75.25240325927734",9NJ5,Stallone Airport,80
small_airport,NA,US,US-NJ,Fairton,9NJ6,9NJ6,"39.36640167236328, -75.26830291748047",9NJ6,Halka Nurseries Airport,10
heliport,NA,US,US-NJ,Bridgewater,9NJ7,9NJ7,"40.573699951171875, -74.6677017211914",9NJ7,Rca Sommerville Heliport,125
small_airport,NA,US,US-NJ,Hope,9NJ8,9NJ8,"40.89590072631836, -74.99960327148438",9NJ8,High Meadow Farms Airport,630
small_airport,NA,US,US-NY,Red Hook,9NK4,9NK4,"42.024318, -73.856292",9NK4,Greig Farm Airport,215
small_airport,NA,US,US-NC,Salemburg,9NR7,9NR7,"35.018333, -78.565833",9NR7,Triple F Airpark,148
small_airport,NA,US,US-NC,Red Springs,9NR8,9NR8,"34.793333, -79.193611",9NR8,Buie Field,203
heliport,NA,US,US-NC,Castle Hayne,9NR9,9NR9,"34.358889, -77.860556",9NR9,210 Investors Heliport,28
heliport,NA,US,US-NY,Johnson City,9NY1,9NY1,"42.113399505615234, -75.95850372314453",9NY1,Wilson Memorial Regional Medical Center Heliport,911
heliport,NA,US,US-NY,Westfield,9NY2,9NY2,"42.329498291015625, -79.57060241699219",9NY2,Westfield Memorial Hospital Heliport,756
heliport,NA,US,US-NY,Owego,9NY3,9NY3,"42.0973014831543, -76.22470092773438",9NY3,Susquehanna Heliport,884
small_airport,NA,US,US-NY,Kennedy,9NY4,9NY4,"42.100799560546875, -79.08180236816406",9NY4,Kennedy Airfield,1760
heliport,NA,US,US-NY,Patchogue,9NY5,9NY5,"40.80039978027344, -72.91680145263672",9NY5,Norman Kurrass Contractor Heliport,30
small_airport,NA,US,US-NY,Treadwell,9NY6,9NY6,"42.324798583984375, -74.98629760742188",9NY6,Mason Airway Airport,2170
small_airport,NA,US,US-NY,Perth,9NY7,9NY7,"43.032901763916016, -74.1510009765625",9NY7,Hart Airport,925
heliport,NA,US,US-NY,Port Washington,9NY8,9NY8,"40.84230041503906, -73.70120239257812",9NY8,Thomson Industries Inc Heliport,20
heliport,NA,US,US-NY,Poughkeepsie,9NY9,9NY9,"41.6572827552, -73.935649395",9NY9,Poughkeepsie Main Plant Heliport,100
heliport,NA,US,US-OH,Oxford,9OA2,9OA2,"39.582801818847656, -84.76270294189453",9OA2,Hueston Woods Lodge Heliport,920
small_airport,NA,US,US-OH,Long Bottom,9OA3,9OA3,"39.08340072631836, -81.77760314941406",9OA3,Bellville Dam Landing Strip,591
small_airport,NA,US,US-OH,Lewisburg,9OA4,9OA4,"39.830299377441406, -84.50969696044922",9OA4,Gilmer Airport,1045
small_airport,NA,US,US-OH,Hebron,9OA5,9OA5,"39.962318420410156, -82.54998016357422",9OA5,Buckeye Executive Airport,914
heliport,NA,US,US-OH,Glouster,9OA6,9OA6,"39.53030014038086, -82.0333023071289",9OA6,Burr Oak Lodge Heliport,820
small_airport,NA,US,US-OH,Fremont,9OA7,9OA7,"41.30979919433594, -83.11599731445312",9OA7,Jenkins Airport,655
small_airport,NA,US,US-OH,Columbia Station,9OA8,9OA8,"41.28229904174805, -81.9489974975586",9OA8,Crocker Airport,830
small_airport,NA,US,US-OH,Bellville,9OA9,9OA9,"40.62139892578125, -82.53379821777344",9OA9,Bender Airport,1140
heliport,OC,GU,GU-U-A,Guam,9OG1,9OG1,"13.475863, 144.812142",9OG1,Barrigada Readiness Center Heliport,311
small_airport,NA,US,US-OH,Elmore,9OH1,9OH1,"41.454200744628906, -83.26519775390625",9OH1,Haar Airport,617
small_airport,NA,US,US-OH,Elmore,9OH2,9OH2,"41.51559829711914, -83.30580139160156",9OH2,Toussaint Airpark,610
heliport,NA,US,US-OH,Loveland,9OH3,9OH3,"39.28340148925781, -84.29769897460938",9OH3,C.C.A. Heliport,810
small_airport,NA,US,US-OH,Elyria,9OH4,9OH4,"41.403900146484375, -82.10649871826172",9OH4,Richards Airport,690
heliport,NA,US,US-OH,Troy,9OH5,9OH5,"40.048099517822266, -83.22709655761719",9OH5,Miami Valley Heliport,940
small_airport,NA,US,US-OH,Findlay,9OH7,9OH7,"40.961700439453125, -83.59519958496094",9OH7,Lutz Airport,808
small_airport,NA,US,US-OH,Findlay,9OH8,9OH8,"40.97639846801758, -83.6416015625",9OH8,Ferrell Airport,815
small_airport,NA,US,US-OH,Forest,9OH9,9OH9,"40.82870101928711, -83.51380157470703",9OH9,Forest Field,890
heliport,NA,US,US-OH,Maumee,9OI1,9OI1,"41.60060119628906, -83.689697265625",9OI1,Dice's Personal Heliport,630
small_airport,NA,US,US-OH,Zanesville,9OI3,9OI3,"39.89860153198242, -82.11029815673828",9OI3,Johns Landing Airport,1000
heliport,NA,US,US-OH,Wilmington,9OI4,9OI4,"39.45479965209961, -83.78130340576172",9OI4,Quail Lakes Heliport,1057
small_airport,NA,US,US-OH,East Liberty,9OI5,9OI5,"40.308101654052734, -83.54170227050781",9OI5,Transportation Research Center of Ohio Airport,1100
small_airport,NA,US,US-OH,Loudenville,9OI6,9OI6,"40.6328010559082, -82.17680358886719",9OI6,Nesta Airport,950
small_airport,NA,US,US-OH,Magnetic Springs,9OI7,9OI7,"40.3400993347168, -83.28410339355469",9OI7,Bayes Airport,1000
small_airport,NA,US,US-OH,Old Washington,9OI8,9OI8,"40.03229904174805, -81.46510314941406",9OI8,Brothers Aviation Airport,1040
heliport,NA,US,US-OH,Columbus,9OI9,9OI9,"40.03120040893555, -83.03489685058594",9OI9,Riverside Methodist Hospital Heliport,746
heliport,NA,US,US-OK,Oklahoma City,9OK0,9OK0,"35.49449920654297, -97.52110290527344",9OK0,Governor's Mansion Heliport,1200
heliport,NA,US,US-OK,Oklahoma City,9OK1,9OK1,"35.481201171875, -97.49859619140625",9OK1,Omh Heliport,1240
heliport,NA,US,US-OK,Pawnee,9OK2,9OK2,"36.33340072631836, -96.80030059814453",9OK2,Pawnee Municipal Hospital Heliport,925
small_airport,NA,US,US-OK,Bartlesville,9OK3,9OK3,"36.70370101928711, -95.84049987792969",9OK3,Flying Eagle Estates Airport,690
small_airport,NA,US,US-OK,Stratford,9OK5,9OK5,"34.77830123901367, -96.92749786376953",9OK5,Diamond C Ranch Airport,1140
heliport,NA,US,US-OK,Eufaula,9OK6,9OK6,"35.3109016418457, -95.5907974243164",9OK6,Community Hospital Lakeview Heliport,640
small_airport,NA,US,US-OK,Jennings,9OK7,9OK7,"36.18479919433594, -96.55030059814453",9OK7,Cimarron Strip,920
heliport,NA,US,US-OK,Oklahoma City,9OK8,9OK8,"35.53340148925781, -97.50029754638672",9OK8,Central Park Helistop,1110
small_airport,NA,US,US-OR,Brownsville,9OR0,9OR0,"44.315101623535156, -123.0250015258789",9OR0,Lafferty Field,360
small_airport,NA,US,US-OR,Shaniko,9OR1,9OR1,"45.002899169921875, -120.73999786376953",9OR1,Shaniko Ranch Airport,3300
heliport,NA,US,US-OR,Salem,9OR2,9OR2,"44.86819839477539, -123.02300262451172",9OR2,Reforestation Services Heliport,410
heliport,NA,US,US-OR,Klamath Falls,9OR3,9OR3,"42.25400161739999, -121.783996582",9OR3,Sky Lakes Medical Center Heliport,4420
small_airport,NA,US,US-OR,Milton/Freewater,9OR4,9OR4,"45.93370056152344, -118.447998046875",9OR4,King's Airport,950
heliport,NA,US,US-OR,Portland,9OR5,9OR5,"45.51399994, -122.5579987",9OR5,Portland Adventist Medical Center Heliport,322
heliport,NA,US,US-OR,Portland,9OR6,9OR6,"45.4991281091, -122.685334682",9OR6,Oregon Health Sciences University Emerg Heliport,540
heliport,NA,US,US-OR,Banks,9OR7,9OR7,"45.603889, -123.078611",9OR7,Fishback Heliport,200
small_airport,NA,US,US-OR,Albany,9OR8,9OR8,"44.732601165771484, -123.05599975585938",9OR8,Wooldridge Agstrip Airport,205
heliport,NA,US,US-OR,Portland,9OR9,9OR9,"45.55820083618164, -122.53500366210938",9OR9,Wallace Heliport,50
small_airport,NA,US,US-PA,Parker Ford,9PA0,9PA0,"40.18730163574219, -75.59020233154297",9PA0,Lance Airport,275
small_airport,NA,US,US-PA,Pennsburg,9PA2,9PA2,"40.394500732421875, -75.44129943847656",9PA2,Old Plains Airport,660
small_airport,NA,US,US-PA,Richlandtown,9PA3,9PA3,"40.47570037841797, -75.30960083007812",9PA3,Meadow Strip Ultralightport,499
heliport,NA,US,US-PA,Philadelphia,9PA4,9PA4,"39.953399658203125, -75.14959716796875",9PA4,S & C 8th & Market Helistop,300
small_airport,NA,US,US-PA,Leighton,9PA5,9PA5,"40.78010177612305, -75.71630096435547",9PA5,Solt Field,520
heliport,NA,US,US-PA,Philadelphia,9PA6,9PA6,"40.03340148925781, -75.24960327148438",9PA6,State Police Area Six Heliport,100
small_airport,NA,US,US-PA,Fort Hill,9PA7,9PA7,"39.77280044555664, -79.21109771728516",9PA7,Keystone Airport,2531
heliport,NA,US,US-PA,Philadelphia,9PA8,9PA8,"39.94900131225586, -75.15850067138672",9PA8,Thomas Jefferson University Hospital Heliport,253
heliport,NA,US,US-PA,Philadelphia,9PA9,9PA9,"39.98789978027344, -75.26069641113281",9PA9,Lankenau Hospital Heliport,250
small_airport,NA,US,US-PA,Perryopolis,9PN1,9PN1,"40.03900146484375, -79.79000091552734",9PN1,Seitz Field,1240
heliport,NA,US,US-PA,Philadelphia,9PN2,9PN2,"39.947222, -75.196111",9PN2,Childrens Hospital Of Philadelphia Heliport,203
heliport,NA,US,US-PA,Wilkes Barre,9PN5,9PN5,"41.21979904174805, -75.88099670410156",9PN5,Franklin Heliport,710
heliport,NA,US,US-PA,Wilkes-Barre,9PN6,9PN6,"41.125099182128906, -75.99330139160156",9PN6,Baratta Heliport,1130
small_airport,NA,US,US-PA,Wysox,9PN7,9PN7,"41.81809997558594, -76.4126968383789",9PN7,Veit Airport,1360
small_airport,NA,US,US-PA,Carbondale,9PN8,9PN8,"41.625099182099994, -75.53299713130001",9PN8,Malinchak Private Airport,1700
heliport,NA,US,US-PA,Pen Argyl,9PN9,9PN9,"40.84700012207031, -75.2437973022461",9PN9,Perin Heliport,740
heliport,NA,US,US-PA,Wexford,9PS0,9PS0,"40.60900115966797, -80.03299713134766",9PS0,Zokaites Heliport,1268
heliport,NA,US,US-PA,Whitemarsh Township,9PS1,9PS1,"40.076499938964844, -75.25520324707031",9PS1,Eagle Lodge-Lafayette Hill Heliport,352
small_airport,NA,US,US-PA,Worthington,9PS2,9PS2,"40.80870056152344, -79.6697998046875",9PS2,J T Willie Airport,1200
heliport,NA,US,US-PA,Doylestown,9PS3,9PS3,"40.307098388671875, -75.14659881591797",9PS3,Doylestown Heliport,325
heliport,NA,US,US-PA,Easton-Forks Township,9PS4,9PS4,"40.7495002746582, -75.21019744873047",9PS4,Pheasant Run Heliport,400
heliport,NA,US,US-PA,West Reading,9PS5,9PS5,"40.33060073852539, -75.95020294189453",9PS5,Reading Hospital Heliport,320
heliport,NA,US,US-PA,Downingtown,9PS6,9PS6,"39.97090148925781, -75.65599822998047",9PS6,Siepsers Eye Port Heliport,350
heliport,NA,US,US-PA,Duncansville,9PS7,9PS7,"40.447200775146484, -78.42890167236328",9PS7,W S Lee & Sons Inc Heliport,1104
small_airport,NA,US,US-PA,Gettysburg,9PS8,9PS8,"39.8130989074707, -77.29499816894531",9PS8,Manor Landing Airport,560
heliport,NA,US,US-PA,Langhorne,9PS9,9PS9,"40.20220184326172, -74.92289733886719",9PS9,St Mary Medical Center Heliport,150
small_airport,NA,US,US-TX,Portland,9R5,9R5,"27.887800216674805, -97.35440063476562",9R5,Hunt Airport,40
heliport,NA,US,US-TX,San Antonio,9R7,9R7,"29.64189910888672, -98.5781021118164",9R7,Camp Bullis Heliport,1066
small_airport,NA,US,US-OR,Lakeside,9S3,9S3,"43.58319854736328, -124.18000030517578",9S3,Lakeside State Airport,20
small_airport,NA,US,US-MT,Winifred,9S7,9S7,"47.55160140991211, -109.37799835205078",9S7,Winifred Airport,3311
small_airport,NA,US,US-SD,Selby,9SD7,9SD7,"45.474998474121094, -100.03500366210938",9SD7,Beaman Airport,1960
small_airport,NA,US,US-SD,Hartford,9SD8,9SD8,"43.58330154418945, -96.95030212402344",9SD8,Oakleaf Airport,1625
small_airport,NA,US,US-SD,Dell Rapids,9SD9,9SD9,"43.80659866333008, -96.70890045166016",9SD9,Weelborg Airport,1553
heliport,NA,US,US-TX,Pflugerville,9TA0,9TA0,"30.45009994506836, -97.66390228271484",9TA0,Aero Heliport,800
small_airport,NA,US,US-TX,New Braunfels,9TA1,9TA1,"29.658599853515625, -98.13780212402344",9TA1,Hilltop Ranch Airport,762
small_airport,NA,US,US-TX,Crosby,9TA3,9TA3,"29.87299919128418, -94.9896011352539",9TA3,Rogers Airport,38
heliport,NA,US,US-TX,Dallas,9TA4,9TA4,"32.78179931640625, -96.79810333251953",9TA4,Placid Heliport,1090
heliport,NA,US,US-TX,Dallas,9TA5,9TA5,"32.643699645996094, -96.87750244140625",9TA5,Charlton-Careflite Heliport,705
heliport,NA,US,US-TX,Freeport,9TA6,9TA6,"28.976900100708008, -95.31739807128906",9TA6,Buccaneer Shore Facility Heliport,5
heliport,NA,US,US-TX,Galveston,9TA7,9TA7,"29.312200546299998, -94.77829742429999",9TA7,U of Texas Medical Branch Emergency Room Heliport,35
small_airport,NA,US,US-TX,Alto,9TA8,9TA8,"31.684099197387695, -94.97720336914062",9TA8,Taylor Ranch Airport,270
heliport,NA,US,US-TX,Houston,9TA9,9TA9,"29.85219955444336, -95.40850067138672",9TA9,Delta Mechanical Inc Heliport,73
small_airport,NA,US,US-TX,Scurry,9TE0,9TE0,"32.399200439453125, -96.38359832763672",9TE0,Twin Acres Airport,340
small_airport,NA,US,US-TX,Comfort,9TE2,9TE2,"30.5683, -100.445",9TE2,JL Bar Ranch,2344
