"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky ed","?","?","?","?","?","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","nips","1990","touretzky d s ed","?","?","?","?","pages 524 532","?","?","the cascade correlaion learning architecture","?","?","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","touretzky d s ed","?","?","?","?","?","morgan kaufmann","?","the cascade correlation architecture","?","vol 2","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","touretzky d s ed","?","?","?","?","?","morgan kaufmann","?","the cascade correlation architecture","?","vol 2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","advances in 43 neural information processing systems","1990","?","?","?","?","?","524 532","?","?","the cascade correlation architecture","?","2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","advances in neural information processing systems","1990","?","?","?","?","?","524 532","?","?","the cascade correlation architecture","?","2","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","d s touretzky ed","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","d s touretzky ed","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","?","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","advances in neural information processing systems","1990","in touretzky d s ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e lebiere c","fahlman s e lebiere c","advances in neural information processing systems","1990","in touretzky d s ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","?","1991","?","?","?","?","?","?","?","?","the cascade correlation learning architecture","?","?","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","?","1991","?","?","?","?","?","?","?","?","the cascade correlation learning architecture","?","?","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","?","1991","?","?","?","?","?","?","?","?","the cascade correlation learning architecture","?","?","?"
"?","fahlman s and c lebiere","fahlman s and c lebiere","advances in neural information processing systems proceedings of the 1989 conference","1990","in touretzky d s editor","?","?","?","?","524 532","morgan kauffmann","?","the cascade correlation learning architecture","?","?","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","advances in neural information processing structures","1990","in touretzky d s editor","?","?","?","?","pages 524 532","mor gan kaufmann","?","the cascade correlation architecture","?","2","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","advances in neural information processing structures","1990","in touretzky d s editor","?","?","?","?","pages 524 532","mor gan kaufmann","?","the cascade correlation architecture","?","2","?"
"524 532 san mateo ca","fahlman s lebiere c","fahlman s lebiere c","in advances in neural information processing systems","1989","?","?","?","?","?","pp","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","fahlman s lebiere c","fahlman s lebiere c","advances in neural information processing systems","1989","d ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture in touret zky","?","vol 2","?"
"san mateo ca","fahlman s lebiere c","fahlman s lebiere c","advances in neural information processing systems","1989","in touret zky d ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","fahlman s lebiere c","fahlman s lebiere c","advances in neural information processing systems","1989","in touret zky d ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","fahlman s lebiere c","fahlman s lebiere c","advances in neural information processing systems","1989","in touret zky d ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"denver co","fahlman s and lebiere c","fahlman s and lebiere c","in advances in neural information processing systems","1989","?","?","?","?","?","524 532","?","?","the cascade correlation learning architecture","?","2","?"
"denver co","fahlman s and lebiere c","fahlman s and lebiere c","in advances in neural information processing systems","1989","?","?","?","?","?","524 532","?","?","the cascade correlation learning architecture","?","2","?"
"denver","fahlman s and lebiere c","fahlman s and lebiere c","in advances in neural information processing systems","1989","?","?","?","?","?","524 532","co","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","ed d s touretzky","?","?","?","?","?","morgan kaufmann","?","the cascade correlation architecture","?","?","?"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","?","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","ii","?"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","nips","1990","?","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"denver colorado","fahlmann s e and lebiere c","fahlmann s e and lebiere c","in advances in neural information processing systems 2 nips 2","1989","?","?","?","?","?","?","?","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s e fahlman c lebiere","s e fahlman c lebiere","advances in neural information processing systems","1990","in d s touretzky ed","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky ed","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"?","fahlman s and lebiere c","fahlman s and lebiere c","advances in neural information processing systems","1990","in d touretzky ed","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"denver co","s fahlman and c lebiere","s fahlman and c lebiere","in adv in neural info processing systems","1989","?","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"den ver co","s e fahlman and c lebiere","s e fahlman and c lebiere","in advances in neural information processing systems","1989","?","?","?","?","?","pages 524 532","?","?","the cascade correlation learning architecture","?","volume2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","volume2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo 1990","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","?","touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learn ing architecture in d s","?","volume 2","?"
"san mateo 1990","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","?","touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture in d s","?","volume 2","?"
"denver co","s e fahlman and c lebiere","s e fahlman and c lebiere","in advances in neural information processing systems","1989","?","?","?","?","?","524 532","?","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","in advances in neural information processing systems","1990","d s touretzky ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architec ture","?","2","?"
"san mateo","s e fahlmann c lebiere","s e fahlmann c lebiere","advances in neural information processing systems","1990","?","?","?","?","?","?","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","?","morgan kaufmann","?","the cascade correlation architecture","?","2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","in advances in neural information processing systems","1990","d touretzky ed","?","?","?","san mateo","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","in advances in neural information processing systems","1990","d touretzky ed","?","?","?","san mateo","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","in advances in neural information processing systems","1990","d touretzky ed","?","?","?","san mateo","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","neural information systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","volume2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","in advances in neural information processing systems","1990","d s touretzky ed","?","?","?","?","524 532","morgan kaufman","?","the cascade correlation architecture","?","2","?"
"los altos ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","ed d s touretsky","?","?","?","?","524 532","?","?","the cascade correlation learning architecture","?","2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann publishers inc","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretsky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","neural information processing systems","1990","in d touretzky editor","?","?","?","?","?","morgan kauffman inc","?","the cascade correlation learning architecture","?","volume 2","?"
"los altos ca","fahlmann scott c lebiere","fahlmann scott c lebiere","in advances in neural information processing","?","?","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architechture","?","2","?"
"san mateo ca","s fahlman and c libiere","s fahlman and c libiere","advances in neural information processing systems","?","in d touretzky ed","?","?","?","?","p 524 532","morgan kaufman","?","the cascade correlation architecture","?","2","?"
"san mateo","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo","fahlman s e and lebiere c","fahlman s e and lebiere c","in advances in neural information processing systems ii denver 1989","1990","ed d s touretzky","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing","1990","d s touretzky ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","in ad vances in neural information processing systems ii","1989","edited by d touretzky","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing systems","1990","in touretzky d editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"los altos ca","fahlmann scott c lebiere","fahlmann scott c lebiere","in advances in neural information processing","?","?","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architechture","?","2","?"
"los altos ca","fahlmann scott c lebiere","fahlmann scott c lebiere","in advances in neural information processing","?","?","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","2","?"
"denver colorado","s e fahlman and c lebiere","s e fahlman and c lebiere","in nips 2","1990","editors d touretzky m","?","?","?","?","pp 524 532","kaufmann publishers inc","?","the cascade correlation learning architecture","?","?","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in 13","1990","?","?","?","?","?","pages 524 532","?","?","the cascade correlation learning architec ture","?","?","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in 13","1990","?","?","?","?","?","pages 524 532","?","?","the cascade correlation learning architec ture","?","?","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in 9","1990","?","?","?","?","?","pages 524 532","?","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","ieee morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","ieee morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","in neural information systems","1990","d touretzky ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","in neural information systems","1990","ed d touretzky","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advances in neural information processing","1990","d s touretzky ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning architecture","?","vol 2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","?","morgen kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in 16","1990","?","?","?","?","?","pages 524 532","?","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","fahlman s e and lebiere c","fahlman s e and lebiere c","advance in neural information processing systems","1990","ed in touretzky d","?","?","?","?","524 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","vol 2","?"
"los altos ca","fahlman s and lebiere c","fahlman s and lebiere c","advances in neural information processing systems","1990","in d s touretzky ed","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing structures","1990","in d s touretsky editor","?","?","?","?","pages 524532","morgan kauf mann","?","the cascade correlation architecture","?","2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing structures","1990","in d s touretsky editor","?","?","?","?","pages 524532","morgan kauf mann","?","the cascade correlation architecture","?","2","?"
"san mateo","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1989 1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"los altos ca","s fahlmann c lebiere","s fahlmann c lebiere","advances in neural information processing","?","?","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","2","?"
"los altos ca","s fahlmann c lebiere","s fahlmann c lebiere","advances in neural information processing","?","?","?","?","?","?","pp 524 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","2","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in 22","1990","?","?","?","?","38 references","pages 524 532","?","?","the cascade correlation learning architecture","?","?","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","neural information systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"?","s fahlman and c lebiere","s fahlman and c lebiere","neural information systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"?","fahlman scott e","fahlman scott e","in advances in neural information processing systems","1990","?","?","?","?","?","?","morgan kaufman","?","the cascade correlation learning architecture","?","2","?"
"san mateo ca","s fahlman","s fahlman","in advances in neural information processing systems","1990","d touretzky ed","?","?","?","?","pp 524 ed 532","morgan kaufmann publishers","?","the cascade correlation learning architecture","?","2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","?","morgen kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","s e fahlman and lebiere c","s e fahlman and lebiere c","in advances in neural information processing systems","1990","?","?","?","?","?","524 532","?","?","the cascaded correlation learning architecture","?","2","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in advances in neural information processing systems","1990","touretzky ed","?","?","?","?","?","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in advances in neural information processing systems","1990","touretzky ed","?","?","?","?","?","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"san mateo","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"san mateo","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","volume 2","?"
"?","scott e fahlman and christian lebiere","scott e fahlman and christian lebiere","in advances in neural information processing systems ii","1990","?","?","?","?","?","pages 524 532","morgan kauf man","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","neural information processing systems","1990","in d s touretzky editor","?","?","?","?","pages 524 532","morgan kauffman","?","the cascade correlation learning algorithm","?","2","?"
"san mateo ca","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","ieee morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s fahlman and c lebiere","s fahlman and c lebiere","advances in neural information processing systems","1990","in d touretzky editor","?","?","?","?","pages 524 532","ieee morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","?","?","?","?","?","2 pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","?","?","?","?","?","2 pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","?","?","?","?","?","2 pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems","1990","?","?","?","?","?","2 pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","advances in neural information processing systems","1990","in touretzky ed","?","?","?","?","?","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s e lebiere c","fahlman s e lebiere c","advances in neural information processing systems","1990","in touretzky ed","?","?","?","?","?","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"san francisco","fahlman s and lebiere c","fahlman s and lebiere c","advances in neural information processing systems","1990","in touretzky d ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","in neural information systems","1990","touretzky d s ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","in neural information systems","1990","touretzky d s ed","?","?","?","?","pp 524 532","morgan kauffman","?","the cascade correlation learning architecture","?","2","?"
"san mateo","fahlman s e and lebiere c","fahlman s e and lebiere c","in advances in neural information processing systems ii denver 1989","1990","ed d s touretzky","?","?","?","?","524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"denver colorado","s e fahlman and lebiere c","s e fahlman and lebiere c","in neural information processing systems","1990","editors d touretzky","?","?","?","?","pp 524 532","morgan kauf mann publishers inc","?","the cascade correlation learning architecture","?","2","?"
"denver colorado","s e fahlman and c lebiere","s e fahlman and c lebiere","in neural information processing systems","1990","editors d touretzky","?","?","?","?","pp 524 532","morgan kaufmann publishers inc","?","the cascade correlation learning architecture","?","2","?"
"?","s e fahlman and c lebiere","s e fahlman and c lebiere","in advances in neural information systems ii","1990","d e touretzky ed","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","?","?"
"san mateo ca","s e fahlman and c lebiere","s e fahlman and c lebiere","advances in neural information processing systems nips89","1990","?","?","?","?","?","pp 524 532","morgan kaufmann","?","the cascade correlation learning architecture","?","vol 2","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","190 205","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","190 205","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","190 205","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","190 205","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo california","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","pages 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","pages 190 196","morgan kaufmann","?","the recurrent cascade correlation learning algorithm","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","advances in neural information processing systems","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","pages 190 196","morgan kaufmann","?","the recurrent cascade correlation learning algorithm","?","3","?"
"san mateo ca","fahlman s e","fahlman s e","nips 3","1991","in lippmann r p moody j e and touretzky d s editors","?","?","?","?","pages 190 196","morgan kaufmann","?","the recurrent cascade correlation learning algorithm","?","?","?"
"?","fahlmann s e 1990","fahlmann s e 1990","inadvances in neural information processing systgems","?","?","?","?","?","?","pp 380 387","?","?","the recurrent cascade correlation architecture","?","?","?"
"san mateo california","scott e fahlman","scott e fahlman","advances in neural information processing systems","1991","in r p lipp mann j e moody and d s touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo california","s fahlman","s fahlman","advances in neural information processing systems","1991","in r lippmann j moody and d touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann publishers inc","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo california","scott e fahlman","scott e fahlman","advances in neural information processing systems","1991","in r p lippmann j e moody and d s touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","s fahlman","s fahlman","in advances in neural information processing systems","1991","r p lippmann j moody and d touretzky eds","?","?","?","?","pp 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo california","scott e fahlman","scott e fahlman","advances in neural information processing systems","1991","in r p lippmann j e moody and d s touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo california","scott e fahlman","scott e fahlman","advances in neural information processing systems","1991","in r p lippmann j e moody and d s touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","s fahlman","s fahlman","advances in neural information processing systems","1991","in r lippmann j moody and d touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","s fahlman","s fahlman","advances in neural information processing systems","1991","in r lippmann j moody and d touretzky editors","?","?","?","?","pages 190 196","morgan kaufmann","?","the recurrent cascade correlation architecture","?","3","?"
"?","fahlman scott e","fahlman scott e","in advances in neural information processing systems","1991","?","?","?","?","?","?","morgan kaufman","?","the recurrent cascade correlation architecture","?","3","?"
"san mateo ca","s fahlman","s fahlman","in advances in neural information pro cessing systems","1991","r lippmann j moody and d touretzky eds","?","?","?","?","pp 190 196","morgan kaufmann publishers","?","the recurrent cascade correlation architecture","?","3","?"
"?","scott e fahlman and david b mcdonald","scott e fahlman and david b mcdonald","advanced language implementation","1991","in peter lee editor","?","?","?","?","pages 137 156","the mit press","?","design considerations for cmu common lisp","?","chapter 6","?"
"?","scott e fahlman and david b mcdonald","scott e fahlman and david b mcdonald","advanced language implementation","1991","in peter lee editor","?","?","?","?","pages 137 156","the mit press","?","design considerations for cmu common lisp","?","chapter 6","?"
"pittsburgh","fahlman s e","fahlman s e","?","1991","?","school of computer science carneige mellon university","?","?","?","?","?","cmu cs 91 100","the recurrent cascade correlation architecture","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1991","?","dept of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 91 100","the recurrent cascade correlation architecture","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1991","?","dept of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 91 100","the recurrent cascade correlation architecture","?","?","?"
